Id,Season,City,Date,Team1,Team2,Toss_Winner,Toss_Decision,Result,DL_Applied,Winner,Win_By_Runs,Win_By_Wickets,Player_Of_Match,Venue,Umpire1,Umpire2,Umpire3
64814,2002/03,Napier,29-12-02,New Zealand,India,India,Field,Normal,No,New Zealand,35,0,V Sehwag,McLean Park,EAR de Silva,DB Cowie,BF Bowden
64815,2002/03,Christchurch,01-01-03,India,New Zealand,India,Bat,Normal,No,New Zealand,0,5,DR Tuffey,Jade Stadium,EAR de Silva,DB Cowie,AL Hill
64816,2002/03,Queenstown,04-01-03,India,New Zealand,New Zealand,Field,Normal,No,New Zealand,0,7,AR Adams,Davies Park,EAR de Silva,DB Cowie,AL Hill
64817,2002/03,Wellington,08-01-03,New Zealand,India,New Zealand,Bat,Normal,No,India,0,2,Z Khan,Westpac Stadium,BF Bowden,DJ Harper,DB Cowie
64819,2002/03,Hamilton,14-01-03,India,New Zealand,New Zealand,Field,Normal,No,New Zealand,0,6,SP Fleming,Westpac Park,DJ Harper,DB Cowie,BF Bowden
64820,2003,Kingston,17-05-03,Australia,West Indies,West Indies,Field,D/L,Yes,Australia,2,0,RT Ponting,Sabina Park,BR Doctrove,DR Shepherd,EA Nicholls
64825,2003,St George's,30-05-03,Australia,West Indies,Australia,Bat,Normal,No,West Indies,0,3,WW Hinds,Queen's Park (New),EA Nicholls,RE Koertzen,BR Doctrove
64826,2003,St George's,01-06-03,Australia,West Indies,Australia,Bat,Normal,No,West Indies,0,9,CH Gayle,Queen's Park (New),BR Doctrove,RE Koertzen,EA Nicholls
64827,2003,Bridgetown,07-06-03,Sri Lanka,West Indies,West Indies,Field,Normal,No,Sri Lanka,55,0,M Muralitharan,Kensington Oval,BF Bowden,BR Doctrove,EA Nicholls
64829,2003,Kingstown,11-06-03,Sri Lanka,West Indies,West Indies,Field,D/L,Yes,West Indies,0,6,MN Samuels,Arnos Vale Ground,BF Bowden,BR Doctrove,EA Nicholls
64830,2003,Cairns,02-08-03,Bangladesh,Australia,Australia,Field,Normal,No,Australia,0,8,B Lee,Bundaberg Rum Stadium,DR Shepherd,SJA Taufel,PD Parker
64831,2003,Cairns,03-08-03,Bangladesh,Australia,Bangladesh,Bat,Normal,No,Australia,0,9,DR Martyn,Bundaberg Rum Stadium,DR Shepherd,SJ Davis,PD Parker
64832,2003,Darwin,06-08-03,Australia,Bangladesh,Australia,Bat,Normal,No,Australia,112,0,RT Ponting,Marrara Cricket Ground,DR Shepherd,SJA Taufel,SJ Davis
64833,2003,Multan,09-09-03,Pakistan,Bangladesh,Pakistan,Bat,Normal,No,Pakistan,137,0,Yasir Hameed,Multan Cricket Stadium,Aleem Dar,RB Tiffin,Nadeem Ghauri
64836,2003,Rawalpindi,18-09-03,Bangladesh,Pakistan,Bangladesh,Bat,Normal,No,Pakistan,0,5,Mohammad Yousuf,Rawalpindi Cricket Stadium,Aleem Dar,RB Tiffin,Asad Rauf
64837,2003,Karachi,21-09-03,Pakistan,Bangladesh,Pakistan,Bat,Normal,No,Pakistan,58,0,Yasir Hameed,National Stadium,Nadeem Ghauri,RB Tiffin,Aleem Dar
64838,2003/04,Lahore,03-10-03,Pakistan,South Africa,Pakistan,Bat,Normal,No,Pakistan,8,0,Shoaib Malik,Gaddafi Stadium,Aleem Dar,DB Hair,Nadeem Ghauri
64839,2003/04,Lahore,05-10-03,Pakistan,South Africa,South Africa,Field,Normal,No,Pakistan,42,0,Mohammad Sami,Gaddafi Stadium,DB Hair,Nadeem Ghauri,Asad Rauf
64840,2003/04,Faisalabad,07-10-03,Pakistan,South Africa,Pakistan,Bat,D/L,Yes,South Africa,13,0,JH Kallis,Iqbal Stadium,DB Hair,Nadeem Ghauri,Aleem Dar
64841,2003/04,Rawalpindi,10-10-03,Pakistan,South Africa,Pakistan,Bat,Normal,No,South Africa,0,6,A Nel,Rawalpindi Cricket Stadium,Aleem Dar,DB Hair,Asad Rauf
64842,2003/04,Rawalpindi,12-10-03,Pakistan,South Africa,Pakistan,Bat,Normal,No,South Africa,0,7,HH Dippenaar,Rawalpindi Cricket Stadium,Aleem Dar,DB Hair,Asad Rauf
64843,2003/04,Chattogram,07-11-03,Bangladesh,England,Bangladesh,Bat,Normal,No,England,0,7,A Flintoff,MA Aziz Stadium,Aleem Dar,Mahbubur Rahman,AFM Akhtaruddin
64844,2003/04,Dhaka,10-11-03,Bangladesh,England,Bangladesh,Bat,Normal,No,England,0,7,A Flintoff,Bangabandhu National Stadium,AFM Akhtaruddin,Aleem Dar,Mahbubur Rahman
64845,2003/04,Dhaka,12-11-03,Bangladesh,England,Bangladesh,Bat,Normal,No,England,0,7,A Flintoff,Bangabandhu National Stadium,Aleem Dar,Mahbubur Rahman,AFM Akhtaruddin
64846,2003/04,Dambulla,18-11-03,England,Sri Lanka,England,Bat,Normal,No,Sri Lanka,0,10,WPUJC Vaas,Rangiri Dambulla International Stadium,DJ Harper,TH Wijewardene,MG Silva
64848,2003/04,Bulawayo,23-11-03,West Indies,Zimbabwe,West Indies,Bat,Normal,No,Zimbabwe,0,6,MA Vermeulen,Queens Sports Club,ID Robinson,RE Koertzen,KC Barbour
64849,2003/04,Harare,26-11-03,Zimbabwe,West Indies,West Indies,Field,Normal,No,Zimbabwe,21,0,HH Streak,Harare Sports Club,EAR de Silva,KC Barbour,ID Robinson
64850,2003/04,Lahore,29-11-03,New Zealand,Pakistan,New Zealand,Bat,Normal,No,Pakistan,0,3,Abdul Razzaq,Gaddafi Stadium,DL Orchard,Nadeem Ghauri,Aleem Dar
64851,2003/04,Harare,29-11-03,West Indies,Zimbabwe,Zimbabwe,Field,D/L,Yes,West Indies,72,0,FH Edwards,Harare Sports Club,EAR de Silva,ID Robinson,KC Barbour
64852,2003/04,Harare,30-11-03,Zimbabwe,West Indies,Zimbabwe,Bat,Normal,No,West Indies,0,8,CH Gayle,Harare Sports Club,EAR de Silva,KC Barbour,ID Robinson
64853,2003/04,Lahore,01-12-03,Pakistan,New Zealand,Pakistan,Bat,Normal,No,Pakistan,124,0,Mohammad Sami,Gaddafi Stadium,DL Orchard,Nadeem Ghauri,Aleem Dar
64855,2003/04,Rawalpindi,05-12-03,New Zealand,Pakistan,New Zealand,Bat,Normal,No,Pakistan,0,7,Imran Farhat,Rawalpindi Cricket Stadium,Aleem Dar,DL Orchard,Nadeem Ghauri
64857,2003/04,Auckland,03-01-04,Pakistan,New Zealand,New Zealand,Field,Normal,No,New Zealand,0,4,SB Styris,Eden Park,EAR de Silva,DB Cowie,AL Hill
64862,2003/04,Cape Town,25-01-04,South Africa,West Indies,South Africa,Bat,Normal,No,South Africa,209,0,JH Kallis,Newlands,DB Hair,IL Howell,BG Jerling
64864,2003/04,Durban,30-01-04,West Indies,South Africa,West Indies,Bat,Normal,No,NA,0,0,NA,Kingsmead,DB Hair,IL Howell,BG Jerling
64865,2003/04,Centurion,01-02-04,South Africa,West Indies,South Africa,Bat,Normal,No,West Indies,0,7,S Chanderpaul,SuperSport Park,Aleem Dar,BG Jerling,IL Howell
64870,2003/04,Dambulla,20-02-04,Australia,Sri Lanka,Australia,Bat,Normal,No,Australia,84,0,GB Hogg,Rangiri Dambulla International Stadium,EAR de Silva,BF Bowden,PT Manuel
